date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:19:03	68/68	---M--	200	added ('OK')	text/plain	date:Fri,%2014%20Jun%202013%2001:22:19%20GMT	http://bsatroop681.org/robots.txt		(from )
22:19:03	755/755	---M-Z	200	added ('OK')	text/html	date:Sat,%2022%20Jun%202013%2000:46:24%20GMT	http://bsatroop681.org/	/Users/Scott/websites/troopwebsite/bsatroop681.org/index.html	(from )
22:19:04	15016/15016	---M-Z	200	added ('OK')	text/html	date:Fri,%2006%20Sep%202019%2015:57:06%20GMT	http://bsatroop681.org/menu.html	/Users/Scott/websites/troopwebsite/bsatroop681.org/menu.html	(from http://bsatroop681.org/)
22:19:05	26538/26538	---M-Z	200	added ('OK')	text/html	date:Mon,%2021%20Dec%202020%2015:21:33%20GMT	http://bsatroop681.org/welcome.html	/Users/Scott/websites/troopwebsite/bsatroop681.org/welcome.html	(from http://bsatroop681.org/)
22:19:06	4758/4758	---M-Z	200	added ('OK')	text/html	date:Thu,%2005%20May%202022%2002:19:06%20GMT	http://bsatroop681.org/menu_files/filelist.xml	/Users/Scott/websites/troopwebsite/bsatroop681.org/menu_files/filelist.html	(from http://bsatroop681.org/menu.html)
22:19:07	31962/31962	---M-Z	200	added ('OK')	text/html	date:Sun,%2030%20May%202021%2017:13:04%20GMT	http://bsatroop681.org/01whatsnew.html	/Users/Scott/websites/troopwebsite/bsatroop681.org/01whatsnew.html	(from http://bsatroop681.org/menu.html)
22:19:10	13360/13360	---M-Z	200	added ('OK')	text/html	date:Sun,%2022%20Nov%202020%2002:44:30%20GMT	http://bsatroop681.org/02forms.html	/Users/Scott/websites/troopwebsite/bsatroop681.org/02forms.html	(from http://bsatroop681.org/menu.html)
22:19:12	4654/4654	---M-Z	200	added ('OK')	text/html	date:Mon,%2027%20May%202013%2018:28:48%20GMT	http://bsatroop681.org/03activities.html	/Users/Scott/websites/troopwebsite/bsatroop681.org/03activities.html	(from http://bsatroop681.org/menu.html)
22:19:14	5193/5193	---M-Z	200	added ('OK')	text/html	date:Tue,%2024%20Mar%202015%2020:31:49%20GMT	http://bsatroop681.org/03activereports.html	/Users/Scott/websites/troopwebsite/bsatroop681.org/03activereports.html	(from http://bsatroop681.org/menu.html)
22:19:16	5554/5554	---M-Z	200	added ('OK')	text/html	date:Sun,%2016%20Feb%202014%2018:23:56%20GMT	http://bsatroop681.org/03troophistory.html	/Users/Scott/websites/troopwebsite/bsatroop681.org/03troophistory.html	(from http://bsatroop681.org/menu.html)
22:19:18	8485/8485	---M-Z	200	added ('OK')	text/html	date:Thu,%2003%20Dec%202015%2000:53:26%20GMT	http://bsatroop681.org/cooking_merit_badge.html	/Users/Scott/websites/troopwebsite/bsatroop681.org/cooking_merit_badge.html	(from http://bsatroop681.org/menu.html)
22:19:20	4238/4238	---M-Z	200	added ('OK')	text/html	date:Sat,%2008%20Jun%202013%2017:13:24%20GMT	http://bsatroop681.org/04resources.html	/Users/Scott/websites/troopwebsite/bsatroop681.org/04resources.html	(from http://bsatroop681.org/menu.html)
22:19:22	9447/9447	---M-Z	200	added ('OK')	text/html	date:Mon,%2027%20May%202013%2018:28:50%20GMT	http://bsatroop681.org/04backpackindiv.html	/Users/Scott/websites/troopwebsite/bsatroop681.org/04backpackindiv.html	(from http://bsatroop681.org/menu.html)
22:19:24	200589/200589	---M--	200	added ('OK')	application/pdf	date:Wed,%2028%20Aug%202019%2023:22:14%20GMT	http://bsatroop681.org/PDF_forms/2019-2020%20Troop%20681%20Calendar.pdf	/Users/Scott/websites/troopwebsite/bsatroop681.org/PDF_forms/2019-2020%20Troop%20681%20Calendar.pdf	(from http://bsatroop681.org/menu.html)
22:19:24	8684/8684	---M-Z	200	added ('OK')	text/html	date:Mon,%2027%20May%202013%2018:28:51%20GMT	http://bsatroop681.org/04backpacktroop.html	/Users/Scott/websites/troopwebsite/bsatroop681.org/04backpacktroop.html	(from http://bsatroop681.org/menu.html)
22:19:24	11355/11355	---M-Z	200	added ('OK')	text/html	date:Mon,%2027%20May%202013%2018:28:53%20GMT	http://bsatroop681.org/04carcampchecklist.html	/Users/Scott/websites/troopwebsite/bsatroop681.org/04carcampchecklist.html	(from http://bsatroop681.org/menu.html)
22:19:25	10012/10012	---M-Z	200	added ('OK')	text/html	date:Mon,%2027%20May%202013%2018:28:52%20GMT	http://bsatroop681.org/04campplanPL.html	/Users/Scott/websites/troopwebsite/bsatroop681.org/04campplanPL.html	(from http://bsatroop681.org/menu.html)
22:19:26	9149/9149	---M-Z	200	added ('OK')	text/html	date:Mon,%2027%20May%202013%2018:28:54%20GMT	http://bsatroop681.org/04dutyroster.html	/Users/Scott/websites/troopwebsite/bsatroop681.org/04dutyroster.html	(from http://bsatroop681.org/menu.html)
22:19:27	18086/18086	---M-Z	200	added ('OK')	text/html	date:Mon,%2027%20May%202013%2018:28:56%20GMT	http://bsatroop681.org/04eventsplanner.html	/Users/Scott/websites/troopwebsite/bsatroop681.org/04eventsplanner.html	(from http://bsatroop681.org/menu.html)
22:19:28	28258/28258	---M-Z	200	added ('OK')	text/html	date:Mon,%2027%20May%202013%2018:28:55%20GMT	http://bsatroop681.org/04equipmentbuy.html	/Users/Scott/websites/troopwebsite/bsatroop681.org/04equipmentbuy.html	(from http://bsatroop681.org/menu.html)
22:19:29	4897/4897	---M-Z	200	added ('OK')	text/html	date:Sun,%2016%20Feb%202014%2018:57:15%20GMT	http://bsatroop681.org/04linkscatholicscout.html	/Users/Scott/websites/troopwebsite/bsatroop681.org/04linkscatholicscout.html	(from http://bsatroop681.org/menu.html)
22:19:30	12971/12971	---M-Z	200	added ('OK')	text/html	date:Sat,%2008%20Jun%202013%2016:48:13%20GMT	http://bsatroop681.org/04linksreferences.html	/Users/Scott/websites/troopwebsite/bsatroop681.org/04linksreferences.html	(from http://bsatroop681.org/menu.html)
22:19:31	10226/10226	---M-Z	200	added ('OK')	text/html	date:Mon,%2027%20May%202013%2018:28:59%20GMT	http://bsatroop681.org/04linksscoutgroups.html	/Users/Scott/websites/troopwebsite/bsatroop681.org/04linksscoutgroups.html	(from http://bsatroop681.org/menu.html)
22:19:32	5187/5187	---M-Z	200	added ('OK')	text/html	date:Sun,%2016%20Mar%202014%2018:19:24%20GMT	http://bsatroop681.org/04trooplibrary.html	/Users/Scott/websites/troopwebsite/bsatroop681.org/04trooplibrary.html	(from http://bsatroop681.org/menu.html)
22:19:33	10411/10411	---M-Z	200	added ('OK')	text/html	date:Mon,%2031%20Mar%202014%2000:46:55%20GMT	http://bsatroop681.org/troop_hikes.html	/Users/Scott/websites/troopwebsite/bsatroop681.org/troop_hikes.html	(from http://bsatroop681.org/menu.html)
22:19:34	9857/9857	---M-Z	200	added ('OK')	text/html	date:Mon,%2027%20May%202013%2018:29:02%20GMT	http://bsatroop681.org/05advancement.html	/Users/Scott/websites/troopwebsite/bsatroop681.org/05advancement.html	(from http://bsatroop681.org/menu.html)
22:19:35	9910/9910	---M-Z	200	added ('OK')	text/html	date:Sat,%2021%20Mar%202015%2023:43:08%20GMT	http://bsatroop681.org/05scout_to_life_faq.html	/Users/Scott/websites/troopwebsite/bsatroop681.org/05scout_to_life_faq.html	(from http://bsatroop681.org/menu.html)
22:19:36	23274/23274	---M-Z	200	added ('OK')	text/html	date:Sat,%2021%20Mar%202015%2023:40:35%20GMT	http://bsatroop681.org/05life_to_eagle_faq.html	/Users/Scott/websites/troopwebsite/bsatroop681.org/05life_to_eagle_faq.html	(from http://bsatroop681.org/menu.html)
22:19:37	6442/6442	---M-Z	200	added ('OK')	text/html	date:Sat,%2021%20Mar%202015%2023:38:58%20GMT	http://bsatroop681.org/05advancement-merit.html	/Users/Scott/websites/troopwebsite/bsatroop681.org/05advancement-merit.html	(from http://bsatroop681.org/menu.html)
22:19:38	10418/10418	---M-Z	200	added ('OK')	text/html	date:Thu,%2023%20Nov%202017%2020:05:03%20GMT	http://bsatroop681.org/05linksadvancement.html	/Users/Scott/websites/troopwebsite/bsatroop681.org/05linksadvancement.html	(from http://bsatroop681.org/menu.html)
22:19:39	8598/8598	---M-Z	200	added ('OK')	text/html	date:Mon,%2027%20May%202013%2018:29:04%20GMT	http://bsatroop681.org/05nesa.html	/Users/Scott/websites/troopwebsite/bsatroop681.org/05nesa.html	(from http://bsatroop681.org/menu.html)
22:19:40	35528/35528	---M-Z	200	added ('OK')	text/html	date:Mon,%2023%20Nov%202020%2001:16:09%20GMT	http://bsatroop681.org/06contacttroop.html	/Users/Scott/websites/troopwebsite/bsatroop681.org/06contacttroop.html	(from http://bsatroop681.org/menu.html)
22:19:41	4758/4758	---M-Z	200	added ('OK')	text/html	date:Thu,%2005%20May%202022%2002:19:41%20GMT	http://bsatroop681.org/welcome_files/filelist.xml	/Users/Scott/websites/troopwebsite/bsatroop681.org/welcome_files/filelist.html	(from http://bsatroop681.org/welcome.html)
22:19:42	4758/4758	---M-Z	200	added ('OK')	text/html	date:Thu,%2005%20May%202022%2002:19:42%20GMT	http://bsatroop681.org/welcome_files/editdata.mso	/Users/Scott/websites/troopwebsite/bsatroop681.org/welcome_files/editdata.html	(from http://bsatroop681.org/welcome.html)
22:19:43	4758/4758	---M-Z	200	added ('OK')	text/html	date:Thu,%2005%20May%202022%2002:19:43%20GMT	http://bsatroop681.org/GeneratedItems/CSScriptLib.js	/Users/Scott/websites/troopwebsite/bsatroop681.org/GeneratedItems/CSScriptLib.html	(from http://bsatroop681.org/welcome.html)
22:19:44	750/750	---M-Z	200	added ('OK')	text/html	date:Mon,%2027%20May%202013%2018:29:21%20GMT	http://bsatroop681.org/index-2.html	/Users/Scott/websites/troopwebsite/bsatroop681.org/index-2.html	(from http://bsatroop681.org/welcome.html)
22:20:00	70904/70904	---M--	200	added ('OK')	application/pdf	date:Sun,%2022%20Nov%202020%2001:45:26%20GMT	http://bsatroop681.org/PDF_forms/PreEventChklist.pdf	/Users/Scott/websites/troopwebsite/bsatroop681.org/PDF_forms/PreEventChklist.pdf	(from http://bsatroop681.org/welcome.html)
